hc trt code id dmi
C 1 6 1329 20.7591
C 1 6 219 18.3119
C 1 6 240 21.7342
C 1 6 251 23.2862
C 1 6 2900 25.0979
C 1 6 443 21.0716
C 1 6 484 22.5946
C 1 6 92 20.1989
C 2 7 10 21.5536
C 2 7 227 22.4734
C 2 7 2627 18.6649
C 2 7 276 22.0094
C 2 7 2821 26.8727
C 2 7 405 22.1009
C 2 7 481 22.1646
C 2 7 540 22.8398
C 2 7 73 23.7424
C 2 7 87 20.2052
C 3 8 416 20.8740
C 3 8 434 20.9257
C 3 8 445 24.1728
C 3 8 456 19.3258
C 3 8 462 19.1171
C 3 8 479 22.6044
C 3 8 493 22.1303
C 3 8 70 21.7607
C 4 9 250 23.5074
C 4 9 2503 21.0280
C 4 9 278 22.3562
C 4 9 2990 19.2197
C 4 9 452 18.3821
C 4 9 459 18.0963
C 4 9 489 20.7122
C 4 9 53 19.7478
C 4 9 57 21.8488
C 5 0 2895 18.4628
C 5 0 403 16.4961
C 5 0 428 20.0023
C 5 0 432 18.9787
C 5 0 433 18.1603
C 5 0 435 19.0242
C 5 0 476 18.4036
C 5 0 559 19.4235
C 5 0 58 20.3697
H 1 1 620 17.2633
H 1 1 622 17.7179
H 1 1 628 18.7844
H 1 1 633 19.3898
H 1 1 635 16.7807
H 1 1 654 17.3800
H 1 1 660 19.8873
H 1 1 688 21.3012
H 2 2 481 17.9100
H 2 2 484 17.9260
H 2 2 493 18.9084
H 2 2 616 18.6924
H 2 2 625 17.6015
H 2 2 650 15.6829
H 2 2 671 19.0042
H 2 2 699 18.4707
H 2 2 800 16.6648
H 2 2 803 16.5511
H 3 3 487 19.2140
H 3 3 623 18.0401
H 3 3 626 18.0751
H 3 3 630 15.9113
H 3 3 639 16.5293
H 3 3 652 18.2430
H 3 3 666 18.7973
H 3 3 668 16.5270
H 4 4 489 17.1717
H 4 4 498 17.4301
H 4 4 614 17.2795
H 4 4 615 17.0614
H 4 4 618 15.4097
H 4 4 657 19.0266
H 4 4 658 15.0929
H 4 4 673 16.6743
H 4 4 801 16.6897
H 5 5 468 14.9791
H 5 5 474 14.4597
H 5 5 497 15.2835
H 5 5 608 14.1598
H 5 5 611 15.2918
H 5 5 659 13.9716
H 5 5 672 13.7716
H 5 5 820 14.7101
