subject order speed stride mass vo2 tm etot cn ar ecn    ahm  vhm
1  4  2.68  138 W  2838  71.8  221.14 0.381 0.053 0.260  15.2 13.7
1  8  2.68  138 L  2905  71.8  221.14 0.356 0.084 0.220  16.4 13.6
1  7  2.68  146 W  2630  71.8  221.14 0.359 0.056 0.225  15.0 12.7
1  3  2.68  146 L  2696  71.8  221.14 0.351 0.061 0.225  14.2 12.4
1  1  3.13  138 W  3100  71.8  270.69 0.335 0.099 0.285  13.5 14.2
1  6  3.13  138 L  3343  71.8  270.69 0.313 0.119 0.230  16.6 14.7
1  2  3.13  146 W  3001  71.8  270.69 0.344 0.065 0.225  12.0 13.5
1  5  3.13  146 L  3079  71.8  270.69 0.314 0.095 0.200  12.1 13.3
2  2  2.68  138 W  2782  76.8  236.54 0.403 0.038 0.240  13.6 11.1
2  8  2.68  138 L  2763  76.8  236.54 0.370 0.071 0.210  15.8 12.2
2  3  2.68  146 W  2582  76.8  236.54 0.363 0.048 0.215  14.3 11.0
2  5  2.68  146 L  2619  76.8  236.54 0.343 0.073 0.215  15.0 12.3
2  6  3.13  138 W  3277  76.8  289.54 0.364 0.076 0.230  11.7 11.7
2  1  3.13  138 L  3461  76.8  289.54 0.350 0.090 0.210  11.6 12.2
2  7  3.13  146 W  3116  76.8  289.54 0.341 0.071 0.215  12.3 11.6
2  4  3.13  146 L  3154  76.8  289.54 0.316 0.099 0.215  14.6 12.8
3  4  2.68  138 W  2665  69.8  214.98 0.316 0.120 0.245  16.7 14.5
3  7  2.68  138 L  2759  69.8  214.98 0.311 0.114 0.230  15.5 13.5
3  3  2.68  146 W  2504  69.8  214.98 0.289 0.124 0.225  19.0 14.2
3  5  2.68  146 L  2537  69.8  214.98 0.290 0.118 0.240  16.7 12.3
3  2  3.13  138 W  3077  69.8  263.15 0.294 0.138 0.250  14.4 15.4
3  1  3.13  138 L  3117  69.8  263.15 0.284 0.141 0.230  15.0 14.4
3  6  3.13  146 W  2816  69.8  263.15 0.271 0.137 0.210  14.6 13.7
3  8  3.13  146 L  2966  69.8  263.15 0.286 0.128 0.250  14.7 13.4
