clone reps titer code type 
 1   1  1302    a susc
 1   2  1717    a susc
 1   3  1321    a susc
 1   4  1358    a susc
 1   5  1093    a susc
 2   1    32    b etb 
 2   2    12    b etb 
 2   3    25    b etb 
 2   4    61    b etb 
 2   5    93    b etb 
 3   2  1846    c cult
 3   3  1745    c cult
 3   4  1814    c cult
 3   5  1752    c cult
 4   1   197    d res 
 4   2   380    d res 
 4   3   280    d res 
 4   4   112    d res 
 4   5   355    d res 
 5   1   529    e par 
 5   2   396    e par 
 5   3   629    e par 
 5   4   261    e par 
 5   5   325    e par 
 6   1   931    f par 
 6   2   791    f par 
 6   3    57    f par 
 6   4   706    f par 
 6   5   742    f par 
 7   1  1361    g cult
 7   2   363    g cult
 7   3   418    g cult
 7   4   579    g cult
 7   5  1660    g cult
 8   1   361    h res 
 8   2   113    h res 
 8   3   338    h res 
 8   4   283    h res 
 8   5   301    h res 
 9   1   594    i par 
 9   2   173    i par 
 9   3   526    i par 
 9   4    58    i par 
 9   5    88    i par 
10   1   644    j odd 
10   2   680    j odd 
10   3   663    j odd 
10   4   780    j odd 
10   5   965    j odd 
11   1   549    k par 
11   2   603    k par 
11   3   229    k par 
11   4   398    k par 
11   5   252    k par 
12   1  1185    l susc
12   2  1105    l susc
12   3  1196    l susc
12   4   949    l susc
12   5   906    l susc
13   1   214    m res 
13   2   351    m res 
13   3   564    m res 
13   4    98    m res 
13   5   417    m res 
