soil    reps score   height
dtac2    1  8.04167 35.8333
dtac2    2  5.70833 51.3333
dtac2    3  8.25000 48.1667
dtac2    4  3.25000 49.5833
dtac2    5  6.29167 48.0833
dtac2    6  5.54167 46.0833
grass    1  1.79167 26.1667
grass    2  3.00000 28.4167
grass    3  3.29167 33.7500
grass    4  2.04167 29.7500
grass    5  2.16667 26.3333
grass    6  1.95833 29.2500
grnhous  1  5.83333 40.0833
grnhous  2  6.95833 36.9167
grnhous  3  6.54167 35.0833
grnhous  4  9.00000 35.1667
grnhous  5  3.58333 34.7500
grnhous  6  2.00000 32.3333
nc11004  1  7.58333 43.4167
nc11004  2  7.75000 43.2500
nc11004  3  8.04167 43.5833
nc11004  4  9.12500 42.8333
nc11004  5  8.29167 45.7500
nc11004  6  7.41667 42.3333
ne332    1  2.75000 37.9167
ne332    2  6.95833 41.5000
ne332    3  7.08333 45.6667
ne332    4  5.29167 47.1667
ne332    5  5.12500 45.9167
ne332    6  3.29167 46.3333
nm6      1  4.12500 37.2500
nm6      2  3.45833 27.1667
nm6      3  1.58333 23.0000
nm6      4  5.25000 30.0000
nm6      5  3.91667 36.7500
nm6      6  1.83333 34.5000
promix   1  8.08333 44.0833
promix   2  6.33333 31.5833
promix   3  2.75000 41.3333
promix   4  2.00000 26.2500
promix   5  2.04167 12.6667
promix   6  1.08333 15.3333
vermic   1  8.29167 36.8333
vermic   2  6.54167 34.7500
vermic   3  7.95833 33.9167
vermic   4  4.91667 30.7500
vermic   5  6.875   36.7500
vermic   6  6.125   38.5833
