entry yr mfwlog tg430
   1.0 1  0.73  A
   4.5 1  1.08  A
   5.0 1  0.98  A
   8.0 1  0.71  A
  10.0 1  0.65  H
  13.0 1  0.24  A
  21.0 1  0.34  B
  22.0 1  0.73  A
  23.0 1  1.26  H
  25.0 1  0.57  A
  31.0 1  0.97  A
  32.0 1  1.17  H
  38.0 1  0.56  H
  45.0 1  NA    A
  49.0 1  0.73  H
  50.0 1  1.46  A
  54.0 1  0.44  A
  58.0 1  1.42  H
  62.0 1  0.62  A
  64.0 1  0.64  A
  65.0 1  0.80  A
  67.0 1  0.85  A
  68.0 1  1.02  A
  70.0 1  0.35  B
  79.0 1  1.07  A
  89.0 1  0.68  A
  83.0 1  0.90  A
  94.0 1  NA   NA
 103.0 1  0.61  H
 104.0 1  0.77  A
 114.0 1  0.46  B
 115.0 1  0.96  A
 119.0 1  0.15  A
 120.0 1  1.00  A
 121.0 1  0.45 NA
 128.0 1  1.00  A
 123.0 1  0.83  A
 127.0 1  1.08  A
 131.0 1  0.56  A
 133.0 1  0.19  B
 135.0 1  1.17  H
 137.0 1  0.77  A
 138.0 1  0.76  H
 139.0 1  1.10  A
 140.0 1  0.40  A
 142.0 1  0.68  B
 143.0 1  1.49  A
 145.0 1  1.04  A
 151.0 1  0.84  A
 154.0 1  0.80  B
 130.7 1  0.66  A
 165.0 1  1.26 NA
 178.0 1  1.26  A
 185.0 1  1.32  A
 194.0 1  1.08  H
 196.0 1  0.40  A
 197.0 1  NA    A
 203.0 1  0.53  B
 209.0 1  0.77  A
 210.0 1  0.55  A
 214.0 1  0.70  A
 215.0 1  0.74  A
 219.0 1  0.42  A
 216.0 1  1.13  H
 221.0 1  0.88  A
 225.0 1  0.35  B
 218.9 1  0.88  H
 227.0 1  0.61  A
 234.0 1  1.31  A
 237.0 1  0.54  A
 240.0 1  1.16  B
 241.0 1 -0.30  B
 249.0 1  0.71  A
 255.0 1  0.44  B
 258.0 1  0.57  A
 262.0 1  0.50  B
 267.0 1  0.11  A
 270.0 1  0.82  A
 275.0 1  0.81  H
 277.0 1  0.62  H
 280.0 1  1.02  H
 284.0 1  0.70  H
 288.0 1  0.50  H
 290.0 1  1.08  A
 308.0 1  0.61  A
 285.0 1  1.74  A
 297.0 1  0.70  H
 302.0 1  0.80  H
 316.5 1  0.56  A
 316.9 1  1.02 NA
 313.0 1  0.65  A
 311.0 1  1.22  H
 305.0 1  0.52  A
 303.0 1  1.36  H
 278.0 1  1.11  A
 238.0 1  NA    A
 169.0 1  NA    H
   1.0 2  0.42  A
   4.5 2  0.72  A
   5.0 2  0.89  A
   8.0 2  0.58  A
  10.0 2  0.61  H
  13.0 2  NA    A
  21.0 2  0.62  B
  22.0 2  0.91  A
  23.0 2  1.20  H
  25.0 2  NA    A
  31.0 2  0.89  A
  32.0 2  1.01  H
  38.0 2  NA    H
  45.0 2  0.99  A
  49.0 2  0.72  H
  50.0 2  1.47  A
  54.0 2  0.87  A
  58.0 2  0.99  H
  62.0 2  0.40  A
  64.0 2 0.62   A
  66.0 2 0.84   A
  67.0 2 0.80   A
  69.0 2 0.86   A
  70.0 2 0.26   B
  79.0 2 1.24   A
  89.0 2 0.68   A
  83.0 2 1.12   A
  94.0 2 0.65  NA
 103.0 2 NA     H
 104.0 2 0.64   A
 114.0 2 0.39   B
 115.0 2 NA     A
 119.0 2 0.30   A
 120.0 2 0.76   A
 122.0 2 0.44  NA
 129.0 2 0.80   A
 124.0 2 0.94   A
 127.0 2 0.89   A
 131.0 2 NA     A
 133.0 2 0.32   B
 135.0 2 1.18   H
 137.0 2 0.65   A
 138.0 2 0.94   H
 139.0 2 1.16   A
 140.0 2 0.56   A
 142.0 2 0.84   B
 144.0 2 1.30   A
 145.0 2 1.25   A
 151.0 2 0.64   A
 154.0 2 0.61   B
 131.0 2 0.89   A
 165.0 2 1.21  NA
 178.0 2 NA     A
 185.0 2 1.37   A
 194.0 2 0.88   H
 196.0 2 0.43   A
 198.0 2 1.36   A
 203.0 2 0.28   B
 209.0 2 0.65   A
 210.0 2 0.60   A
 214.0 2 0.56   A
 215.0 2 NA     A
 219.0 2 1.08   A
 216.0 2 NA     H
 221.0 2 0.72   A
 225.0 2 0.43   B
 218.9 2 0.89   H
 227.0 2 0.67   A
 234.0 2 1.23   A
 237.0 2 0.51   A
 240.0 2 1.16   B
 241.0 2 0.64   B
 249.0 2 0.63   A
 255.0 2 0.34   B
 258.0 2 0.79   A
 262.0 2 0.59   B
 267.0 2 0.30   A
 270.0 2 NA     A
 275.0 2 0.68   H
 277.0 2 0.56   H
 280.0 2 0.83   H
 284.0 2 0.72   H
 288.0 2 0.68   H
 290.0 2 1.12   A
 308.0 2 NA     A
 285.0 2 NA     A
 297.0 2 0.76   H
 302.0 2 1.04   H
 316.5 2 NA     A
 316.9 2 0.95  NA
 313.0 2 0.46   A
 311.0 2 NA     H
 305.0 2 0.57   A
 303.0 2 0.86   H
 278.0 2 NA     A
 238.0 2 NA     A
 169.0 2 NA     H
