   cow hc trt    per     dmi code 
  10.C  C   2  Early 21.3833    7
  10.C  C   2   Late 21.7000    7
  10.C  C   2 Middle 21.5786    7
  53.C  C   4  Early 18.8250    9
  53.C  C   4   Late 20.3600    9
  53.C  C   4 Middle 20.0929    9
  57.C  C   4  Early 20.0833    9
  57.C  C   4   Late 22.1600    9
  57.C  C   4 Middle 23.4357    9
  58.C  C   5  Early 17.3750    0
  58.C  C   5   Late 23.5400    0
  58.C  C   5 Middle 20.6643    0
  70.C  C   3  Early 21.9167    8
  70.C  C   3   Late 20.8100    8
  70.C  C   3 Middle 22.5929    8
  73.C  C   2  Early 23.4250    7
  73.C  C   2   Late 23.7000    7
  73.C  C   2 Middle 24.1071    7
  87.C  C   2  Early 19.9083    7
  87.C  C   2   Late 19.0500    7
  87.C  C   2 Middle 21.7500    7
  92.C  C   1  Early 21.8583    6
  92.C  C   1   Late 18.1200    6
  92.C  C   1 Middle 20.8071    6
 219.C  C   1  Early 17.0250    6
 219.C  C   1   Late 18.8200    6
 219.C  C   1 Middle 19.1643    6
 227.C  C   2  Early 22.4333    7
 227.C  C   2   Late 22.3100    7
 227.C  C   2 Middle 22.6786    7
 240.C  C   1  Early 21.8667    6
 240.C  C   1   Late 21.3900    6
 240.C  C   1 Middle 21.9500    6
 250.C  C   4  Early 25.4167    9
 250.C  C   4   Late 20.9400    9
 250.C  C   4 Middle 24.4071    9
 251.C  C   1  Early 21.4750    6
 251.C  C   1   Late 22.2900    6
 251.C  C   1 Middle 26.3786    6
 276.C  C   2  Early 18.2250    7
 276.C  C   2   Late 22.9800    7
 276.C  C   2 Middle 25.4571    7
 278.C  C   4  Early 23.5250    9
 278.C  C   4   Late 20.6700    9
 278.C  C   4 Middle 22.9786    9
 403.C  C   5  Early 18.1167    0
 403.C  C   5   Late 14.3700    0
 403.C  C   5 Middle 17.2429    0
 405.C  C   2  Early 22.3417    7
 405.C  C   2   Late 21.0800    7
 405.C  C   2 Middle 22.9214    7
 416.C  C   3  Early 21.4667    8
 416.C  C   3   Late 18.4500    8
 416.C  C   3 Middle 22.9643    8
 428.C  C   5  Early 19.9000    0
 428.C  C   5   Late 19.7200    0
 428.C  C   5 Middle 20.3929    0
 432.C  C   5  Early 16.3417    0
 432.C  C   5   Late 19.0700    0
 432.C  C   5 Middle 21.9357    0
 433.C  C   5  Early 18.5250    0
 433.C  C   5   Late 17.5300    0
 433.C  C   5 Middle 18.4429    0
 434.C  C   3  Early 21.5000    8
 434.C  C   3   Late 18.5300    8
 434.C  C   3 Middle 23.0000    8
 435.C  C   5  Early 18.5583    0
 435.C  C   5   Late 20.2500    0
 435.C  C   5 Middle 18.3214    0
 443.C  C   1  Early 23.2333    6
 443.C  C   1   Late 18.2100    6
 443.C  C   1 Middle 22.1143    6
 445.C  C   3  Early 24.5333    8
 445.C  C   3   Late 22.7500    8
 445.C  C   3 Middle 25.3071    8
 452.C  C   4  Early 18.3250    9
 452.C  C   4   Late 17.8800    9
 452.C  C   4 Middle 18.9571    9
 456.C  C   3  Early 20.4333    8
 456.C  C   3   Late 17.1300    8
 456.C  C   3 Middle 20.6214    8
 459.C  C   4  Early 17.5917    9
 459.C  C   4   Late 17.7100    9
 459.C  C   4 Middle 19.0214    9
 462.C  C   3  Early 18.4583    8
 462.C  C   3   Late 18.1600    8
 462.C  C   3 Middle 20.8429    8
 468.H  H   5  Early 11.9833    5
 468.H  H   5   Late 16.9100    5
 468.H  H   5 Middle 16.5857    5
 474.H  H   5  Early 12.1417    5
 474.H  H   5   Late 16.4900    5
 474.H  H   5 Middle 15.1000    5
 476.C  C   5  Early 16.9167    0
 476.C  C   5   Late 19.4000    0
 476.C  C   5 Middle 18.9929    0
 479.C  C   3  Early 23.4500    8
 479.C  C   3   Late 20.0800    8
 479.C  C   3 Middle 24.5286    8
 481.H  H   2  Early 18.0833    2
 481.H  H   2   Late 16.3100    2
 481.H  H   2 Middle 19.4786    2
 481.C  C   2  Early 22.3667    7
 481.C  C   2   Late 20.5600    7
 481.C  C   2 Middle 23.6786    7
 484.H  H   2  Early 16.6667    2
 484.H  H   2   Late 18.4400    2
 484.H  H   2 Middle 18.7429    2
 484.C  C   1  Early 25.3667    6
 484.C  C   1   Late 21.0800    6
 484.C  C   1 Middle 21.5714    6
 487.H  H   3  Early 16.7833    3
 487.H  H   3   Late 19.7300    3
 487.H  H   3 Middle 21.4214    3
 489.H  H   4  Early 16.0333    4
 489.H  H   4   Late 17.9800    4
 489.H  H   4 Middle 17.5643    4
 489.C  C   4  Early 22.2833    9
 489.C  C   4   Late 19.3100    9
 489.C  C   4 Middle 20.6500    9
 493.H  H   2  Early 17.9333    2
 493.H  H   2   Late 19.3600    2
 493.H  H   2 Middle 19.4714    2
 493.C  C   3  Early 25.1000    8
 493.C  C   3   Late 19.7300    8
 493.C  C   3 Middle 21.8857    8
 497.H  H   5  Early 13.3750    5
 497.H  H   5   Late 16.4400    5
 497.H  H   5 Middle 16.2357    5
 498.H  H   4  Early 16.8667    4
 498.H  H   4   Late 16.5800    4
 498.H  H   4 Middle 18.9357    4
 540.C  C   2  Early 21.7583    7
 540.C  C   2   Late 23.4800    7
 540.C  C   2 Middle 23.3214    7
 559.C  C   5  Early 16.3667    0
 559.C  C   5   Late 19.5700    0
 559.C  C   5 Middle 22.8786    0
 608.H  H   5  Early 10.8500    5
 608.H  H   5   Late 17.1100    5
 608.H  H   5 Middle 15.2929    5
 611.H  H   5  Early 14.6417    5
