trt BA TDZ code advplt
20 0 0 C 1 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 1 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
20 0 0 C 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 0 
 0 0 0 0 1 
 1 0 0.2 1 0 
 1 0 0.2 1 2 
 1 0 0.2 1 15 
 1 0 0.2 1 13 
 1 0 0.2 1 0 
 1 0 0.2 1 8 
 1 0 0.2 1 1 
 1 0 0.2 1 18 
 1 0 0.2 1 15 
 1 0 0.2 1 0 
 1 0 0.2 1 0 
 1 0 0.2 1 0 
 1 0 0.2 1 0 
 1 0 0.2 1 12 
 2 0 2.0 2 0 
 2 0 2.0 2 1 
 2 0 2.0 2 0 
 2 0 2.0 2 3 
 2 0 2.0 2 0 
 2 0 2.0 2 0 
 2 0 2.0 2 0 
 2 0 2.0 2 1 
 2 0 2.0 2 0 
 2 0 2.0 2 5 
 2 0 2.0 2 0 
 2 0 2.0 2 0 
 2 0 2.0 2 0 
 2 0 2.0 2 3 
 2 0 2.0 2 0 
 2 0 2.0 2 1 
 3 0 20 3 0 
 3 0 20 3 0 
 3 0 20 3 0 
 3 0 20 3 2 
 3 0 20 3 0 
 3 0 20 3 0 
 3 0 20 3 0 
 3 0 20 3 0 
 3 0 20 3 0 
 3 0 20 3 1 
 3 0 20 3 0 
 3 0 20 3 1 
 3 0 20 3 0 
 3 0 20 3 21 
 3 0 20 3 0 
 3 0 20 3 6 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 0 
 4 0.44 0 4 1 
 4 0.44 0 4 2 
 4 0.44 0 4 12 
 4 0.44 0 4 0 
 4 0.44 0 4 3 
 4 0.44 0 4 1 
 4 0.44 0 4 3 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 4 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 1 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 4 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 0 
 5 0.44 0.2 5 8 
 5 0.44 0.2 5 11 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 5 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 3 
 6 0.44 2.0 6 5 
 6 0.44 2.0 6 2 
 6 0.44 2.0 6 2 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 6 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 4 
 6 0.44 2.0 6 0 
 6 0.44 2.0 6 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 1 
 7 0.44 20 7 0 
 7 0.44 20 7 3 
 7 0.44 20 7 1 
 7 0.44 20 7 0 
 7 0.44 20 7 2 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 7 0.44 20 7 0 
 8 4.40 0 8 0 
 8 4.40 0 8 0 
 8 4.40 0 8 0 
 8 4.40 0 8 0 
 8 4.40 0 8 0 
 8 4.40 0 8 0 
 8 4.40 0 8 18 
 8 4.40 0 8 0 
 8 4.40 0 8 0 
 8 4.40 0 8 11 
 8 4.40 0 8 0 
 8 4.40 0 8 20 
 8 4.40 0 8 4 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 2 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 0 
 9 4.40 0.2 9 7 
 9 4.40 0.2 9 3 
 9 4.40 0.2 9 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 2 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 1 
10 4.40 2.0 a 6 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 0 
10 4.40 2.0 a 11 
