caste TL  WL   HH   HW   TH   TW  G1L  G2Wa  G2L    HL  G1Wb  G1Wa   G1H
Q 5.42  9.09 2.39 2.64 2.36 2.25 3.40  3.21 3.38 0.387 0.130 0.390 0.235
Q 5.45  9.26 2.47 2.60 2.45 2.32 3.36  3.14 3.21 0.392 0.138 0.408 0.226
Q 5.59  9.42 2.51 2.73 2.56 2.37 3.59  3.28 3.15 0.380 0.140 0.419 0.242
Q 5.42  9.22 2.54 2.74 2.41 2.31 3.48  3.02 3.16 0.410 0.139 0.410 0.219
Q 5.46  9.57 2.53 2.66 2.44 2.32 3.33  3.41 3.08 0.392 0.135 0.399 0.220
Q 5.61  9.39 2.51 2.71 2.40 2.36 3.49  3.21 3.07 0.403 0.139 0.428 0.240
Q 5.59  9.38 2.50 2.70 2.41 2.26 3.33  3.39 3.21 0.401 0.141 0.408 0.226
Q 5.59  9.27 2.45 2.73 2.46 2.30 3.35  3.20 2.97 0.412 0.135 0.409 0.220
Q 5.41  8.68 2.38 2.56 2.35 2.16 3.29  2.87 2.74 0.393 0.129 0.409 0.223
Q 5.60  9.25 2.47 2.70 2.36 2.29 3.45  3.21 3.03 0.383 0.136 0.425 0.229
Q 5.55  8.79 2.49 2.72 2.39 2.20 3.49  2.49 3.05 0.400 0.133 0.401 0.231
Q 5.65  9.44 2.48 2.70 2.48 2.36 3.38  3.24 3.16 0.399 0.138 0.432 0.222
Q 5.43  9.20 2.48 2.65 2.41 2.30 3.42  3.09 2.94 0.403 0.134 0.415 0.215
Q 5.63  9.58 2.51 2.72 2.52 2.35 3.39  3.08 3.06 0.399 0.141 0.418 0.239
Q 5.49  9.20 2.42 2.69 2.36 2.27 3.30  3.10 3.04 0.390 0.133 0.402 0.222
Q 5.23  9.03 2.39 2.52 2.29 2.06 3.20  2.94 2.71 0.389 0.132 0.389 0.205
Q 5.62  9.38 2.40 2.56 2.35 2.20 3.26  3.56 2.78 0.401 0.132 0.431 0.225
Q 5.40  9.05 2.45 2.74 2.50 2.34 3.37  3.24 3.04 0.409 0.129 0.428 0.219
Q 5.42  9.00 2.43 2.57 2.46 2.23 3.27  3.31 2.91 0.400 0.134 0.401 0.209
Q 5.30  9.07 2.45 2.67 2.42 2.33 3.34  3.10 3.05 0.410 0.130 0.400 0.229
Q 5.48  9.11 2.43 2.63 2.40 2.19 3.34  2.93 2.84 0.411 0.129 0.401 0.230
Q 5.62  9.02 2.47 2.74 2.40 2.33 3.46  2.94 2.96 0.400 0.133 0.424 0.217
Q 5.63  9.28 2.41 2.71 2.48 2.34 3.29  3.45 2.71 0.401 0.142 0.434 0.222
Q 5.40  9.01 2.39 2.64 2.37 2.25 3.36  2.95 2.94 0.390 0.141 0.388 0.226
Q 5.16  8.60 2.40 2.56 2.43 2.15 3.16  2.85 2.82 0.381 0.122 0.391 0.203
Q 5.41  8.89 2.49 2.64 2.35 2.19 3.34  3.04 2.74 0.401 0.136 0.408 0.217
Q 5.60  9.06 2.41 2.64 2.35 2.26 3.33  3.31 3.05 0.399 0.130 0.401 0.209
Q 5.46  8.80 2.41 2.62 2.46 2.24 3.27  2.95 3.02 0.385 0.131 0.403 0.217
Q 5.79  9.17 2.46 2.68 2.43 2.25 3.41  3.07 2.96 0.392 0.139 0.413 0.229
Q 5.62  9.19 2.49 2.74 2.47 2.33 3.42  3.12 3.23 0.401 0.138 0.432 0.219
Q 5.60  8.98 2.46 2.76 2.46 2.31 3.61  3.22 3.25 0.401 0.146 0.430 0.213
Q 5.69  9.43 2.49 2.71 2.48 2.33 3.44  3.52 3.03 0.403 0.139 0.431 0.228
Q 5.43  8.98 2.44 2.66 2.45 2.37 3.38  3.25 3.16 0.391 0.133 0.409 0.223
Q 5.56  9.17 2.48 2.69 2.36 2.31 3.50  3.05 3.02 0.402 0.130 0.402 0.210
Q 5.23  8.68 2.34 2.49 2.28 2.15 3.05  3.25 2.65 0.385 0.122 0.391 0.193
Q 5.49  9.20 2.39 2.53 2.45 2.24 3.36  2.96 2.97 0.381 0.141 0.401 0.231
Q 5.50  8.46 2.43 2.65 2.42 2.17 3.46  3.13 3.06 0.379 0.129 0.399 0.218
Q 5.42  9.20 2.39 2.67 2.46 2.30 3.49  3.23 3.09 0.388 0.139 0.439 0.231
Q 5.48  9.00 2.47 2.71 2.36 2.26 3.40  2.49 2.48 0.399 0.139 0.389 0.201
Q 5.67  9.25 2.48 2.68 2.42 2.30 3.51  3.11 3.02 0.393 0.141 0.431 0.228
Q 5.80  8.93 2.51 2.71 2.49 2.31 3.37  2.98 3.01 0.397 0.133 0.418 0.202
Q 5.51  9.02 2.49 2.72 2.44 2.31 3.52  3.16 3.27 0.402 0.131 0.432 0.202
Q 5.21  8.44 2.42 2.59 2.32 2.17 3.13  2.88 2.26 0.391 0.134 0.403 0.208
Q 5.48  9.04 2.44 2.64 2.36 2.25 3.39  3.02 3.01 0.393 0.140 0.391 0.218
Q 5.41  9.03 2.41 2.61 2.33 2.23 3.23  2.87 2.94 0.386 0.128 0.408 0.201
Q 5.61  9.42 2.42 2.72 2.41 2.32 3.49  2.89 3.16 0.387 0.132 0.405 0.215
Q 5.47  8.99 2.44 2.75 2.38 2.29 3.44  3.06 3.08 0.402 0.139 0.407 0.218
Q 5.43  9.40 2.48 2.74 2.38 2.35 3.49  2.84 3.16 0.407 0.137 0.421 0.218
Q 5.62  9.18 2.49 2.66 2.40 2.34 3.26  3.10 2.91 0.395 0.132 0.410 0.213
Q 5.64  9.23 2.43 2.65 2.39 2.21 3.28  3.14 3.07 0.386 0.128 0.402 0.220
W 5.52  9.81 2.59 2.82 2.27 2.17 3.60  2.74 3.15 0.422 0.126 0.354 0.210
W 5.51  9.60 2.57 2.67 2.36 2.27 3.48  2.70 3.12 0.420 0.135 0.378 0.208
W 5.74  9.32 2.58 2.81 2.40 2.21 3.67  2.95 3.19 0.421 0.135 0.376 0.209
W 5.60  9.58 2.56 2.75 2.34 2.18 3.69  2.85 3.10 0.421 0.137 0.368 0.205
W 5.62  9.61 2.55 2.81 2.37 2.22 3.60  2.80 3.20 0.409 0.131 0.369 0.198
W 5.60  9.59 2.59 2.76 2.35 2.18 3.55  2.85 3.19 0.401 0.121 0.379 0.218
W 5.62  9.56 2.51 2.85 2.42 2.19 3.58  2.71 3.31 0.419 0.130 0.381 0.218
W 5.67  9.67 2.56 2.77 2.44 2.17 3.47  2.71 3.12 0.402 0.131 0.379 0.221
W 5.60  9.58 2.61 2.80 2.38 2.18 3.57  2.89 3.01 0.423 0.132 0.382 0.215
W 5.77  9.30 2.48 2.84 2.47 2.22 3.58  2.76 3.24 0.422 0.139 0.392 0.225
W 5.63  9.43 2.57 2.79 2.34 2.19 3.57  2.59 3.25 0.429 0.128 0.353 0.218
W 5.70  9.61 2.57 2.81 2.44 2.16 3.54  2.72 3.05 0.421 0.126 0.386 0.227
W 5.83  9.83 2.63 2.79 2.36 2.26 3.64  2.84 3.26 0.422 0.131 0.359 0.210
W 5.58  9.42 2.56 2.88 2.50 2.19 3.58  2.70 3.14 0.420 0.137 0.388 0.230
W 5.59  9.92 2.54 2.70 2.45 2.13 3.59  2.76 3.14 0.430 0.131 0.360 0.219
W 5.78  9.98 2.60 2.92 2.49 2.37 3.70  3.00 3.21 0.440 0.133 0.388 0.218
W 5.59  9.90 2.56 2.87 2.48 2.26 3.75  3.03 3.36 0.433 0.141 0.383 0.210
W 5.61  9.99 2.62 2.83 2.40 2.24 3.55  3.19 3.18 0.439 0.130 0.390 0.221
W 5.62  9.89 2.49 2.78 2.36 2.17 3.53  2.77 3.24 0.433 0.130 0.351 0.214
W 5.68  9.98 2.60 2.84 2.52 2.25 3.64  2.81 3.43 0.423 0.140 0.389 0.209
W 5.67  9.87 2.62 2.89 2.49 2.22 3.55  2.91 3.36 0.431 0.129 0.391 0.212
W 5.79  9.92 2.60 2.84 2.48 2.24 3.50  3.10 3.26 0.429 0.133 0.383 0.214
W 5.49  9.03 2.54 2.73 2.45 2.17 3.57  2.73 3.37 0.409 0.129 0.352 0.203
W 5.40  9.22 2.47 2.67 2.37 2.18 3.46  2.54 3.05 0.411 0.137 0.362 0.222
W 5.63  9.63 2.54 2.91 2.49 2.24 3.61  2.73 3.36 0.432 0.139 0.383 0.227
W 5.94 10.19 2.57 2.96 2.56 2.38 3.64  2.93 3.47 0.436 0.139 0.376 0.228
W 5.42  9.50 2.53 2.86 2.50 2.26 3.54  2.80 3.33 0.429 0.130 0.365 0.196
W 5.66  9.62 2.50 2.81 2.45 2.21 3.61  2.82 3.36 0.405 0.139 0.368 0.208
W 5.68  9.32 2.56 2.86 2.48 2.20 3.57  2.65 3.27 0.406 0.132 0.372 0.201
W 5.62  9.78 2.60 2.89 2.54 2.25 3.68  2.96 3.43 0.419 0.127 0.358 0.215
W 5.52  9.59 2.67 2.95 2.55 2.24 3.67  3.03 3.36 0.421 0.131 0.350 0.213
W 5.64  9.89 2.55 2.89 2.55 2.25 3.59  3.06 3.31 0.421 0.131 0.361 0.229
W 5.76  9.90 2.60 2.94 2.56 2.30 3.64  3.02 3.54 0.423 0.132 0.381 0.202
W 5.79  9.89 2.59 2.84 2.57 2.25 3.65  2.85 3.32 0.410 0.135 0.358 0.209
W 5.80 10.02 2.66 2.84 2.57 2.24 3.60  2.29 3.51 0.436 0.130 0.370 0.218
W 5.77  9.79 2.61 2.97 2.56 2.45 3.56  3.04 3.39 0.438 0.145 0.381 0.213
W 5.70  9.87 2.65 2.93 2.54 2.30 3.62  3.01 3.42 0.422 0.130 0.380 0.232
W 5.40  9.42 2.60 2.87 2.45 2.25 3.59  3.10 3.31 0.403 0.135 0.378 0.216
W 5.81  9.63 2.61 2.96 2.61 2.29 3.66  3.09 3.47 0.416 0.131 0.362 0.199
W 5.60  9.30 2.59 2.95 2.42 2.26 3.54  2.97 3.22 0.421 0.139 0.366 0.210
W 5.51  9.50 2.60 2.88 2.55 2.27 3.64  2.70 3.40 0.422 0.126 0.351 0.211
W 5.58  9.38 2.55 2.78 2.54 2.24 3.61  2.70 3.45 0.401 0.132 0.349 0.210
W 5.42  9.50 2.63 2.91 2.53 2.31 3.65  2.82 3.34 0.410 0.130 0.370 0.198
W 5.81  9.98 2.63 2.99 2.59 2.35 3.79  3.06 3.49 0.422 0.142 0.362 0.210
W 5.41  9.42 2.63 2.84 2.44 2.25 3.60  2.79 3.40 0.410 0.131 0.371 0.210
W 5.39  9.20 2.54 2.83 2.44 2.26 3.52  2.71 3.35 0.412 0.120 0.352 0.193
W 5.27  9.19 2.52 2.84 2.46 2.21 3.50  2.92 3.19 0.412 0.130 0.351 0.214
W 5.80 10.03 2.66 3.02 2.48 2.42 3.60  3.23 3.47 0.435 0.142 0.378 0.218
W 5.83  9.82 2.61 2.94 2.50 2.43 3.61  3.08 3.49 0.430 0.128 0.372 0.220
W 5.72 10.01 2.69 2.96 2.63 2.36 3.63  3.03 3.55 0.431 0.129 0.378 0.210
