potato regime temp code photo leak
1 0 1 0  4.6386 1.83303
1 0 1 0  5.7914 2.33452
1 0 1 0 29.3515 2.31517
1 0 1 0 18.4173 2.69258
1 0 1 0  2.2556 1.86815
1 0 2 1  8.2358 4.17253
1 0 2 1  8.1972 2.51992
1 0 2 1 -2.4482 2.08806
1 0 2 1  5.2820 1.41067
1 0 2 1 -5.1283 2.25610
1 1 1 2 11.5350 1.47986
1 1 1 2 -0.2815 0.99499
1 1 1 2 14.1561 0.00000
1 1 1 2 12.0284 1.44222
1 1 1 2 24.2800 2.10238
1 1 1 2  6.6309 2.02485
1 1 1 2 11.8404 1.81108
1 1 1 2  7.1660 0.50990
1 1 1 2 11.2038 1.89473
1 1 1 2  3.8188 2.79285
1 1 1 2  8.3110 2.99166
1 1 1 2 10.7744 1.93132
1 1 2 3 16.4557 2.64008
1 1 2 3 14.2671 2.44745
1 1 2 3 14.3533 0.79373
1 1 2 3 20.8656 3.14325
1 1 2 3 25.2601 2.80179
1 1 2 3 15.2870 3.88973
1 1 2 3  4.1481 4.24735
1 1 2 3 18.9336 3.01164
1 1 2 3 29.4692 5.14782
1 1 2 3 22.8031 2.66646
1 1 2 3 13.7154 3.60832
1 1 2 3 15.7725 5.16140
1 1 2 3 14.9158 3.22025
2 0 1 4 33.3187 5.73324
2 0 1 4 38.1087 6.28729
2 0 1 4 39.1991 5.93549
2 0 1 4 33.2856 5.99333
2 0 1 4 27.0099 3.90896
2 0 1 4 37.7568 5.92621
2 0 1 4 44.0610 5.64535
2 0 1 4 42.0634 3.76298
2 0 1 4 40.1894 5.16914
2 0 1 4 30.6163 2.85482
2 0 1 4 28.5171 2.93258
2 0 1 4 21.7660 2.76948
2 0 1 4 24.6486 3.20156
2 0 2 5 25.2344 6.58483
2 0 2 5 22.7119 6.49923
2 0 2 5 19.5526 5.49818
2 0 2 5 43.3872 7.01570
2 0 2 5 38.6863 5.56956
2 0 2 5 32.1146 7.07743
2 0 2 5 33.8209 5.65155
2 0 2 5 34.6288 4.70744
2 0 2 5 44.6092 7.21249
2 0 2 5 -8.5655 3.35857
2 0 2 5 15.1012 5.14976
2 0 2 5 10.8778 4.23556
2 0 2 5  9.7955 5.15558
2 1 1 6  6.8310 1.37840
2 1 1 6 11.9232 2.10238
2 1 1 6 -0.8043 1.90263
2 1 1 6 15.0218 2.18632
2 1 1 6  7.8724 0.78740
2 1 1 6  2.8905 2.05670
2 1 1 6 11.6731 2.26495
2 1 2 7  3.6064 3.41028
2 1 2 7  3.9008 3.53412
2 1 2 7 10.3614 3.94588
2 1 2 7  8.6263 3.42637
2 1 2 7 18.9236 3.07734
2 1 2 7 17.7902 3.49857
2 1 2 7 20.1395 1.81384
